Subject,Day,Time,Cbratio
c,5,3,1.677
d,5,3,-0.5093
e,5,3,0.2692
f,5,3,3.3816
g,5,3,2.7515
h,5,3,2.9773
u,5,3,0.6566
j,5,3,0.0176
a,5,6,1.9116
b,5,6,1.897
c,5,6,1.6959
d,5,6,-2.876
e,5,6,1.2374
f,5,6,2.1527
g,5,6,1.2711
h,5,6,1.5852
u,5,6,0.7977
j,5,6,0.4974
a,5,12,0.6093
b,5,12,2.0137
c,5,12,1.451
d,5,12,0.3506
e,5,12,0.6003
f,5,12,0.7967
g,5,12,0.9838
h,5,12,1.6377
u,5,12,0.5762
j,5,12,2.4612
a,5,24,0.8108
b,5,24,2.1031
c,5,24,1.8474
d,5,24,-0.7297
e,5,24,0.8431
f,5,24,0.9177
g,5,24,0.3953
h,5,24,1.549
u,5,24,0.3019
j,5,24,-0.4467
a,5,48,0.3633
b,5,48,1.2547
c,5,48,0.5322
d,5,48,0.8363
e,5,48,-0.2857
f,5,48,-0.1465
g,5,48,-0.1438
h,5,48,0.6174
u,5,48,0.0113
j,5,48,1.4831
